Lead Number,Lead Origin,Lead Source,ToBeConverted,TotalVisits,Total Time Spent on Website,Last Activity,Lead Quality,Last Notable Activity
617969,Landing Page Submission,Direct Traffic,0,1,301,Converted to Lead,,Modified
617962,API,Olark Chat,0,0,0,Email Opened,,Email Opened
617958,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
617944,API,Olark Chat,0,0,0,Email Opened,,Email Opened
617934,Landing Page Submission,Google,1,8,190,SMS Sent,Not Sure,SMS Sent
617929,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
617920,API,Organic Search,1,5,1357,Email Opened,Low in Relevance,Email Opened
617909,API,Organic Search,0,5,533,Email Opened,,Email Opened
617905,Landing Page Submission,Google,0,2,232,SMS Sent,Not Sure,SMS Sent
617897,Landing Page Submission,Direct Traffic,0,2,31,Page Visited on Website,,Page Visited on Website
617895,Landing Page Submission,Google,0,4,22,Email Opened,,Email Opened
617871,API,Olark Chat,1,0,0,Email Opened,Might be,Email Opened
617867,Landing Page Submission,Google,0,5,80,Email Opened,,Email Opened
617860,Landing Page Submission,Organic Search,0,2,73,Converted to Lead,Not Sure,Modified
617857,API,Google,0,3,396,Email Opened,Worst,Email Opened
617854,API,Organic Search,1,4,1966,Olark Chat Conversation,Low in Relevance,Modified
617845,Landing Page Submission,Direct Traffic,1,4,646,Email Link Clicked,Might be,Email Link Clicked
617842,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
617833,Landing Page Submission,Direct Traffic,0,3,166,Email Opened,,Email Opened
617817,Landing Page Submission,Direct Traffic,0,3,341,Olark Chat Conversation,,Modified
617816,Landing Page Submission,Direct Traffic,1,10,1669,Email Opened,Might be,Email Opened
617811,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,SMS Sent
617802,API,Organic Search,0,2,579,Email Opened,Worst,Email Opened
617791,Landing Page Submission,Google,0,5,582,SMS Sent,,SMS Sent
617782,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,SMS Sent
617761,Landing Page Submission,Direct Traffic,1,7,1029,Email Opened,Low in Relevance,Email Opened
617753,Landing Page Submission,Organic Search,0,9,81,Email Opened,,Email Opened
617750,API,Organic Search,0,2,122,Email Opened,,Email Opened
617745,Landing Page Submission,Organic Search,1,13,1469,SMS Sent,Might be,SMS Sent
617738,Landing Page Submission,Google,0,6,529,Page Visited on Website,,Modified
617731,Landing Page Submission,Direct Traffic,0,2,130,Email Opened,,Email Opened
617721,Landing Page Submission,Direct Traffic,0,2,818,Email Opened,,Email Opened
617712,API,Olark Chat,1,0,0,Email Opened,High in Relevance,Modified
617711,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Email Opened
617703,Landing Page Submission,Direct Traffic,1,4,281,SMS Sent,Not Sure,SMS Sent
617701,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
617698,API,Google,0,5,418,Olark Chat Conversation,,Modified
617676,Landing Page Submission,Direct Traffic,0,3,1409,Converted to Lead,,Modified
617669,API,Olark Chat,0,0,0,Email Opened,Worst,Email Opened
617634,API,Olark Chat,1,0,0,Email Opened,,Email Opened
617630,Landing Page Submission,Google,0,8,348,Email Opened,,Email Opened
617625,API,Olark Chat,1,0,0,Email Opened,,Email Opened
617618,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
617613,Landing Page Submission,Google,1,6,865,Email Opened,,Email Opened
617610,API,Olark Chat,1,0,0,SMS Sent,High in Relevance,SMS Sent
617576,Landing Page Submission,Google,1,7,1201,SMS Sent,Not Sure,SMS Sent
617567,API,Olark Chat,0,0,0,Email Opened,,Email Opened
617566,Landing Page Submission,Google,0,6,1030,Page Visited on Website,,Modified
617559,API,Olark Chat,0,0,0,Email Opened,Worst,Email Opened
617554,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
617545,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Olark Chat Conversation
617544,API,Olark Chat,0,0,0,Olark Chat Conversation,Not Sure,Modified
617520,Lead Add Form,,1,0,0,SMS Sent,Might be,SMS Sent
617515,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,SMS Sent
617497,API,Google,0,2,216,SMS Sent,Not Sure,SMS Sent
617495,Lead Add Form,,0,0,0,Email Opened,Might be,Email Opened
617482,Landing Page Submission,Organic Search,0,3,151,Email Opened,,Email Opened
617432,Landing Page Submission,Direct Traffic,1,3,977,SMS Sent,Might be,SMS Sent
617419,API,Organic Search,0,4,282,Email Opened,Might be,Email Opened
617405,Landing Page Submission,Direct Traffic,1,7,899,Page Visited on Website,High in Relevance,Modified
617401,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
617400,Landing Page Submission,Google,1,4,1175,Email Opened,Low in Relevance,Email Opened
617392,API,Google,0,2,858,Email Opened,,Modified
617386,API,Olark Chat,0,0,0,Email Opened,,Email Opened
617368,Landing Page Submission,Google,0,4,1501,SMS Sent,Might be,SMS Sent
617361,API,Google,0,2,367,Olark Chat Conversation,,Modified
617354,Landing Page Submission,Direct Traffic,1,8,1517,Email Opened,Low in Relevance,Email Opened
617346,API,Olark Chat,1,0,0,SMS Sent,Low in Relevance,SMS Sent
617313,API,Olark Chat,1,0,0,SMS Sent,Low in Relevance,SMS Sent
617307,Landing Page Submission,Google,0,6,128,Email Opened,Might be,Email Opened
617272,API,Olark Chat,1,0,0,SMS Sent,Low in Relevance,SMS Sent
617259,API,Olark Chat,0,0,0,SMS Sent,,SMS Sent
617258,Landing Page Submission,Direct Traffic,1,2,1178,Email Opened,Low in Relevance,Email Opened
617248,Landing Page Submission,Direct Traffic,0,3,101,Email Opened,Worst,Email Opened
617235,Landing Page Submission,Direct Traffic,1,8,1499,SMS Sent,Might be,SMS Sent
617228,Landing Page Submission,Direct Traffic,1,2,203,SMS Sent,,SMS Sent
617223,API,Olark Chat,1,0,0,Email Opened,,Email Opened
617213,Landing Page Submission,Direct Traffic,0,2,348,Email Opened,Might be,Email Opened
617188,API,Organic Search,1,2,1223,SMS Sent,Low in Relevance,SMS Sent
617172,Landing Page Submission,Google,0,2,437,Email Opened,,Email Opened
617146,API,Direct Traffic,0,10,491,Email Opened,,Email Opened
617125,Landing Page Submission,Direct Traffic,0,2,77,Email Opened,,Email Opened
617123,API,Olark Chat,1,0,0,SMS Sent,High in Relevance,SMS Sent
617119,Landing Page Submission,Direct Traffic,0,5,194,Email Opened,,Modified
617100,Lead Add Form,Reference,1,0,0,SMS Sent,,SMS Sent
617081,Landing Page Submission,Organic Search,0,5,37,Page Visited on Website,,Modified
617071,Landing Page Submission,Direct Traffic,0,5,296,Email Opened,,Email Opened
617063,Landing Page Submission,Google,0,6,369,Email Opened,Worst,Modified
617043,Lead Add Form,Reference,1,0,0,SMS Sent,Low in Relevance,SMS Sent
617035,Lead Add Form,Reference,1,,1010,,High in Relevance,Modified
617028,Lead Add Form,Reference,1,0,0,Email Opened,,Email Opened
617008,Landing Page Submission,Google,1,9,1066,SMS Sent,Might be,SMS Sent
617003,Landing Page Submission,Google,1,3,1019,SMS Sent,,SMS Sent
617000,API,Google,0,2,52,SMS Sent,,SMS Sent
616994,API,Olark Chat,0,0,0,Unsubscribed,,Unsubscribed
616985,API,Organic Search,0,13,391,Olark Chat Conversation,Low in Relevance,Olark Chat Conversation
616965,API,Organic Search,1,2,362,Converted to Lead,Might be,Modified
616959,Landing Page Submission,Direct Traffic,0,5,250,SMS Sent,,SMS Sent
616955,Landing Page Submission,Google,0,5,236,SMS Sent,,SMS Sent
616944,Landing Page Submission,Direct Traffic,1,2,1575,SMS Sent,Might be,SMS Sent
616924,API,Olark Chat,1,0,0,Unsubscribed,,Unsubscribed
616923,API,Google,0,2,1189,SMS Sent,,SMS Sent
616910,API,Google,0,2,940,Email Opened,,Modified
616901,API,Organic Search,0,2,1456,SMS Sent,,SMS Sent
616885,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
616851,API,Google,0,4,153,Olark Chat Conversation,,Modified
616848,API,Olark Chat,0,0,0,Email Opened,,Email Opened
616844,Landing Page Submission,Google,0,4,1579,SMS Sent,,SMS Sent
616820,API,Olark Chat,1,0,0,SMS Sent,High in Relevance,SMS Sent
616780,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
616777,API,Google,0,3,187,SMS Sent,,SMS Sent
616772,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
616761,Landing Page Submission,Direct Traffic,1,3,1346,SMS Sent,Might be,SMS Sent
616758,API,Google,0,2,71,SMS Sent,,SMS Sent
616756,Landing Page Submission,Direct Traffic,0,3,349,Email Opened,,Email Opened
616749,API,Google,0,2,67,SMS Sent,Might be,SMS Sent
616744,API,Olark Chat,0,0,0,Email Opened,,Modified
616739,Landing Page Submission,Google,0,28,81,Page Visited on Website,,Modified
616733,Landing Page Submission,Direct Traffic,1,9,1324,Email Opened,Low in Relevance,Email Opened
616732,Landing Page Submission,Google,1,2,1004,SMS Sent,Might be,SMS Sent
616725,API,Google,0,2,104,Unsubscribed,,Unsubscribed
616721,API,Olark Chat,0,3,101,Email Opened,Worst,Email Opened
616720,API,Google,0,4,331,Page Visited on Website,Worst,Modified
616706,Landing Page Submission,Direct Traffic,1,5,36,SMS Sent,Might be,SMS Sent
616699,API,Google,1,2,1129,SMS Sent,,SMS Sent
616697,Landing Page Submission,Direct Traffic,0,4,11,SMS Sent,,SMS Sent
616685,Lead Add Form,Reference,1,,1620,,Might be,Modified
616684,Lead Add Form,Reference,1,0,0,Email Opened,Low in Relevance,Email Opened
616664,API,Google,1,3,8,SMS Sent,,SMS Sent
616661,Landing Page Submission,Google,0,4,1239,SMS Sent,Might be,SMS Sent
616642,Landing Page Submission,Google,0,5,218,SMS Sent,,SMS Sent
616626,Landing Page Submission,Direct Traffic,1,7,1284,SMS Sent,Might be,SMS Sent
616621,Landing Page Submission,Google,0,3,1022,Page Visited on Website,,Modified
616614,API,Organic Search,1,5,1229,SMS Sent,,SMS Sent
616607,API,Direct Traffic,1,10,1398,SMS Sent,,SMS Sent
616598,Landing Page Submission,Google,1,4,952,Email Opened,Low in Relevance,Email Opened
616597,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
616596,API,Olark Chat,0,0,0,SMS Sent,,SMS Sent
616592,API,Olark Chat,0,1,198,Olark Chat Conversation,,Olark Chat Conversation
616591,API,Olark Chat,0,0,0,SMS Sent,Not Sure,SMS Sent
616586,API,Referral Sites,1,2,476,SMS Sent,,SMS Sent
616581,Landing Page Submission,Google,0,4,144,Email Opened,,Email Opened
616576,API,Google,1,2,1226,SMS Sent,,SMS Sent
616572,Landing Page Submission,Direct Traffic,1,10,900,SMS Sent,,SMS Sent
616567,Landing Page Submission,Direct Traffic,1,4,1609,SMS Sent,,SMS Sent
616561,API,Olark Chat,0,0,0,SMS Sent,,Modified
616560,API,Olark Chat,0,0,0,SMS Sent,,Modified
616540,Landing Page Submission,Google,0,4,9,SMS Sent,,Modified
616534,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
616531,API,Olark Chat,0,0,0,SMS Sent,,SMS Sent
616521,Landing Page Submission,Google,1,5,1063,Email Opened,Might be,Email Opened
616514,Landing Page Submission,Google,1,4,1416,SMS Sent,Might be,SMS Sent
616507,Landing Page Submission,Google,0,3,1385,Email Opened,,Email Opened
616506,Landing Page Submission,Direct Traffic,0,4,337,SMS Sent,,SMS Sent
616493,Landing Page Submission,Google,1,4,1544,SMS Sent,Might be,SMS Sent
616460,Landing Page Submission,Direct Traffic,0,5,608,Email Bounced,,Email Bounced
616456,Landing Page Submission,Direct Traffic,0,7,250,Email Link Clicked,,Email Link Clicked
616453,Landing Page Submission,Direct Traffic,0,8,283,Page Visited on Website,,Page Visited on Website
616444,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
616442,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
616421,Landing Page Submission,Google,0,4,287,Email Opened,,Email Opened
616420,Landing Page Submission,Google,0,3,389,SMS Sent,Might be,SMS Sent
616401,Landing Page Submission,Google,0,4,205,SMS Sent,,Modified
616397,API,Olark Chat,0,0,0,SMS Sent,,Modified
616382,Landing Page Submission,Direct Traffic,0,15,978,SMS Sent,Worst,Modified
616359,API,Olark Chat,0,0,0,Email Bounced,,Email Bounced
616349,API,Olark Chat,1,0,0,SMS Sent,Might be,SMS Sent
616347,API,Organic Search,0,3,382,SMS Sent,Not Sure,SMS Sent
616332,Landing Page Submission,Direct Traffic,0,2,80,Email Opened,,Email Opened
616325,Landing Page Submission,Google,1,2,1495,SMS Sent,High in Relevance,SMS Sent
616275,Landing Page Submission,Organic Search,0,9,62,Email Link Clicked,,Modified
616261,Landing Page Submission,Google,1,4,1701,SMS Sent,Might be,SMS Sent
616247,Landing Page Submission,Direct Traffic,0,6,142,Email Opened,Not Sure,Email Opened
616237,API,Organic Search,0,3,26,SMS Sent,Not Sure,SMS Sent
616232,Landing Page Submission,Direct Traffic,1,2,1659,Email Opened,Low in Relevance,Email Opened
616225,Landing Page Submission,Direct Traffic,0,4,419,Email Opened,,Email Opened
616210,Landing Page Submission,Google,0,4,48,Email Opened,Not Sure,Email Opened
616206,API,Google,1,8,1036,SMS Sent,Might be,SMS Sent
616185,Landing Page Submission,Google,1,3,1637,Email Opened,Low in Relevance,Email Opened
616183,Landing Page Submission,Google,0,2,1014,SMS Sent,,SMS Sent
616173,Landing Page Submission,Google,0,4,952,Email Opened,Low in Relevance,Email Opened
616164,Landing Page Submission,Google,1,2,665,SMS Sent,,SMS Sent
616152,Landing Page Submission,Google,0,18,13,Page Visited on Website,,Page Visited on Website
616149,Landing Page Submission,Google,1,4,1081,SMS Sent,Might be,SMS Sent
616146,Landing Page Submission,Direct Traffic,0,3,152,SMS Sent,,Modified
616143,API,Olark Chat,1,0,0,SMS Sent,Not Sure,SMS Sent
616130,API,Google,1,3,1490,SMS Sent,Might be,SMS Sent
616127,Landing Page Submission,Google,0,4,930,Email Opened,,Modified
616116,Landing Page Submission,Direct Traffic,0,6,168,Email Opened,Worst,Modified
616102,Landing Page Submission,Google,1,4,429,SMS Sent,Might be,SMS Sent
616085,Landing Page Submission,Organic Search,0,14,171,Email Opened,,Modified
616074,Landing Page Submission,Direct Traffic,0,16,247,Page Visited on Website,Worst,Page Visited on Website
616073,Landing Page Submission,Direct Traffic,1,5,1298,Page Visited on Website,,Page Visited on Website
616068,API,Olark Chat,1,0,0,Email Opened,Low in Relevance,Email Opened
616067,Landing Page Submission,Direct Traffic,1,5,1540,Email Opened,Low in Relevance,Email Opened
616059,Landing Page Submission,Google,1,6,1027,Page Visited on Website,High in Relevance,Page Visited on Website
616058,API,Olark Chat,1,0,0,Email Opened,Low in Relevance,Modified
616049,Landing Page Submission,Google,1,5,1220,SMS Sent,Might be,SMS Sent
616047,API,Olark Chat,0,0,0,Email Opened,,Email Opened
616046,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
616037,Landing Page Submission,Google,0,10,1246,SMS Sent,,Modified
616035,Landing Page Submission,Direct Traffic,1,4,1225,SMS Sent,Might be,SMS Sent
616023,Landing Page Submission,Google,1,3,1270,SMS Sent,High in Relevance,SMS Sent
616018,API,Olark Chat,0,0,0,Olark Chat Conversation,Might be,Modified
616009,Landing Page Submission,Google,0,3,35,Email Opened,,Email Opened
616003,Landing Page Submission,Google,1,4,874,SMS Sent,Might be,SMS Sent
616002,Lead Add Form,Reference,0,0,0,SMS Sent,,Modified
615997,Lead Add Form,Click2call,0,0,0,Email Opened,High in Relevance,Modified
615988,API,Olark Chat,0,0,0,Email Opened,,Email Opened
615968,Landing Page Submission,Google,0,8,68,Email Opened,,Email Opened
615964,API,Google,1,2,848,Email Opened,,Email Opened
615958,API,Google,0,3,502,Olark Chat Conversation,,Modified
615952,Landing Page Submission,Direct Traffic,0,6,748,Email Opened,,Email Opened
615950,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
615948,Lead Add Form,Reference,1,0,0,Email Link Clicked,Low in Relevance,Email Link Clicked
615932,Lead Add Form,Reference,1,0,0,SMS Sent,Might be,SMS Sent
615929,Landing Page Submission,Google,0,3,263,SMS Sent,,Modified
615917,API,Olark Chat,0,0,0,Email Link Clicked,,Email Link Clicked
615912,API,Google,0,1,649,Converted to Lead,,Modified
615906,Landing Page Submission,Organic Search,1,7,1549,SMS Sent,Might be,SMS Sent
615899,Landing Page Submission,Direct Traffic,0,18,301,Page Visited on Website,,Page Visited on Website
615885,Landing Page Submission,Google,0,2,1446,Email Opened,,Modified
615883,Landing Page Submission,Google,0,3,201,Email Opened,Worst,Modified
615878,Landing Page Submission,Organic Search,1,5,1019,SMS Sent,Might be,SMS Sent
615877,Landing Page Submission,Google,1,4,2111,SMS Sent,Might be,SMS Sent
615865,API,Google,0,3,1039,SMS Sent,,Modified
615853,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
615844,API,Organic Search,1,2,1049,SMS Sent,,SMS Sent
615839,API,Olark Chat,0,0,0,Email Opened,,Modified
615827,API,Google,1,2,1520,SMS Sent,,SMS Sent
615813,Landing Page Submission,Direct Traffic,1,6,954,Email Opened,Low in Relevance,Modified
615809,Landing Page Submission,Direct Traffic,1,5,845,Page Visited on Website,Worst,Modified
615804,API,Organic Search,1,7,1157,SMS Sent,,Modified
615801,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
615795,API,Olark Chat,0,0,0,Email Opened,,Email Opened
615769,Lead Add Form,Reference,1,0,0,SMS Sent,High in Relevance,SMS Sent
615754,API,Google,0,2,222,Olark Chat Conversation,Not Sure,Modified
615753,API,Google,0,6,1308,Email Opened,,Email Opened
615740,API,Google,1,2,1871,SMS Sent,Might be,SMS Sent
615737,API,Direct Traffic,0,2,295,Email Opened,,Email Opened
615722,Landing Page Submission,Direct Traffic,0,2,201,Email Opened,,Email Opened
615719,Landing Page Submission,Google,0,4,1411,SMS Sent,Might be,SMS Sent
615713,API,Google,0,4,146,Email Opened,,Email Opened
615707,Landing Page Submission,Direct Traffic,1,2,430,Email Opened,High in Relevance,Modified
615705,API,Organic Search,0,3,169,Olark Chat Conversation,Worst,Modified
615704,Landing Page Submission,Direct Traffic,1,3,39,SMS Sent,Not Sure,SMS Sent
615700,Landing Page Submission,Direct Traffic,0,4,5,Email Opened,,Email Opened
615687,Landing Page Submission,Google,0,12,806,SMS Sent,Might be,SMS Sent
615679,API,Organic Search,1,6,1028,SMS Sent,,SMS Sent
615658,API,Olark Chat,1,0,0,Olark Chat Conversation,High in Relevance,Modified
615645,Landing Page Submission,Google,1,3,1010,SMS Sent,,SMS Sent
615643,Lead Add Form,,0,,156,Email Bounced,,Modified
615616,API,Organic Search,1,2,1106,SMS Sent,,SMS Sent
615607,Landing Page Submission,Google,1,10,155,SMS Sent,Might be,SMS Sent
615582,Landing Page Submission,Google,1,8,252,Email Opened,,Email Opened
615563,API,Olark Chat,0,0,0,Email Opened,,Email Opened
615558,Landing Page Submission,Direct Traffic,1,2,1683,SMS Sent,Might be,SMS Sent
615556,API,Olark Chat,0,0,0,Page Visited on Website,Worst,Page Visited on Website
615534,Lead Add Form,Reference,1,0,0,Email Opened,High in Relevance,Modified
615524,Lead Add Form,Reference,1,4,1144,Page Visited on Website,Might be,Page Visited on Website
615507,Landing Page Submission,Google,1,3,872,Unreachable,High in Relevance,Unreachable
615502,Landing Page Submission,Direct Traffic,0,2,1160,Email Opened,Worst,Email Opened
615501,Landing Page Submission,Direct Traffic,0,2,817,Email Opened,Worst,Email Opened
615500,API,Olark Chat,0,0,0,Olark Chat Conversation,Worst,Modified
615488,Landing Page Submission,Direct Traffic,0,2,877,SMS Sent,,Modified
615481,API,Olark Chat,1,0,0,SMS Sent,,SMS Sent
615477,API,Olark Chat,0,0,0,Email Opened,Low in Relevance,Email Opened
615473,Landing Page Submission,Organic Search,0,7,542,Page Visited on Website,Not Sure,Page Visited on Website
615468,API,Google,0,3,518,Olark Chat Conversation,Worst,Modified
615466,Landing Page Submission,Direct Traffic,1,2,837,Email Bounced,Low in Relevance,Modified
615461,API,Olark Chat,1,0,0,SMS Sent,Low in Relevance,SMS Sent
615453,API,Organic Search,1,3,1757,SMS Sent,,SMS Sent
615452,API,Organic Search,0,3,11,Email Bounced,Worst,Modified
615429,Landing Page Submission,Direct Traffic,1,2,1108,Email Opened,Low in Relevance,Modified
615425,Landing Page Submission,Google,1,4,1049,SMS Sent,Not Sure,SMS Sent
615386,Landing Page Submission,Google,1,5,763,SMS Sent,,SMS Sent
615353,Landing Page Submission,Direct Traffic,0,3,9,SMS Sent,Might be,SMS Sent
615333,Landing Page Submission,Google,0,5,357,Email Opened,,Email Opened
615326,Landing Page Submission,Direct Traffic,0,1,196,Email Bounced,Not Sure,Modified
615320,Landing Page Submission,Direct Traffic,1,2,1735,Email Opened,,Email Opened
615309,Landing Page Submission,Direct Traffic,1,3,1500,Approached upfront,High in Relevance,Modified
615283,Landing Page Submission,Direct Traffic,1,3,558,Page Visited on Website,Low in Relevance,Modified
615282,Landing Page Submission,Direct Traffic,0,2,225,Email Opened,Worst,Email Opened
615279,Landing Page Submission,Direct Traffic,0,2,69,Email Link Clicked,Not Sure,Email Link Clicked
615278,API,Olark Chat,0,0,0,Email Opened,,Modified
615271,Landing Page Submission,Direct Traffic,0,2,91,Email Opened,,Email Opened
615265,Landing Page Submission,Direct Traffic,0,2,156,SMS Sent,Might be,SMS Sent
615239,API,Organic Search,0,2,111,Converted to Lead,Low in Relevance,Modified
615227,Landing Page Submission,Direct Traffic,1,7,1434,Email Opened,Not Sure,Email Opened
615216,Landing Page Submission,Organic Search,1,6,1183,Email Opened,High in Relevance,Email Opened
615194,Landing Page Submission,Direct Traffic,0,5,138,Email Opened,Worst,Email Opened
615193,Landing Page Submission,Google,1,2,1585,SMS Sent,,SMS Sent
615172,Landing Page Submission,Direct Traffic,1,2,1486,SMS Sent,Might be,SMS Sent
615155,Landing Page Submission,Google,0,3,303,Email Bounced,,Modified
615125,API,Google,1,5,567,Email Opened,Low in Relevance,Email Opened
615121,Landing Page Submission,Direct Traffic,0,5,260,SMS Sent,,SMS Sent
615108,Landing Page Submission,Google,0,6,74,Email Opened,Not Sure,Email Opened
615106,API,Google,1,2,840,Email Bounced,Low in Relevance,Email Bounced
615080,Landing Page Submission,Direct Traffic,1,7,1143,Email Opened,,Email Opened
615069,Lead Add Form,,1,0,0,SMS Sent,,SMS Sent
615065,API,Olark Chat,0,0,0,Email Opened,,Email Opened
615064,API,Organic Search,1,2,342,SMS Sent,,Modified
615063,Landing Page Submission,Direct Traffic,0,8,598,Converted to Lead,,Modified
615038,Lead Add Form,Reference,0,0,0,Email Opened,,Email Opened
615032,Landing Page Submission,Direct Traffic,0,2,1517,SMS Sent,,Modified
615031,Landing Page Submission,Direct Traffic,0,12,494,Email Opened,,Email Opened
615013,Lead Add Form,Reference,1,0,0,SMS Sent,,SMS Sent
615009,API,Olark Chat,0,0,0,Email Opened,,Email Opened
614998,Lead Add Form,Welingak Website,1,1,846,Page Visited on Website,High in Relevance,Modified
614996,API,Google,1,3,1199,SMS Sent,,SMS Sent
614988,API,Olark Chat,0,0,0,Email Opened,,Email Opened
614974,Landing Page Submission,Direct Traffic,1,3,206,SMS Sent,Might be,SMS Sent
614973,API,Google,0,3,204,Converted to Lead,,Modified
614964,API,Olark Chat,1,0,0,Email Opened,,Email Opened
614961,API,Organic Search,0,3,427,Email Opened,,Modified
614938,API,Google,0,2,238,Email Opened,,Email Opened
614930,API,Google,0,2,1237,Email Opened,Worst,Email Opened
614924,Landing Page Submission,Google,1,3,170,SMS Sent,Might be,SMS Sent
614920,Landing Page Submission,Direct Traffic,1,3,205,SMS Sent,Not Sure,SMS Sent
614912,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
614911,Landing Page Submission,Google,1,7,894,SMS Sent,,SMS Sent
614906,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
614902,Lead Add Form,Reference,1,0,0,Form Submitted on Website,High in Relevance,Modified
614900,Landing Page Submission,Direct Traffic,1,2,1585,SMS Sent,Might be,SMS Sent
614878,Landing Page Submission,Direct Traffic,0,3,127,Email Opened,,Email Opened
614865,API,Google,1,2,252,Email Opened,,Email Opened
614849,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
614846,Landing Page Submission,Google,1,4,905,SMS Sent,Not Sure,SMS Sent
614845,API,Google,1,8,88,SMS Sent,,SMS Sent
614840,Landing Page Submission,Direct Traffic,1,3,112,SMS Sent,Might be,SMS Sent
614828,Landing Page Submission,Google,0,5,220,Email Opened,,Email Opened
614821,API,Google,0,6,310,Email Opened,,Email Opened
614819,Landing Page Submission,Direct Traffic,1,19,312,SMS Sent,Might be,SMS Sent
614817,Landing Page Submission,Organic Search,0,5,1035,Email Opened,Not Sure,Email Opened
614804,Landing Page Submission,Organic Search,1,8,914,Email Opened,Low in Relevance,Email Opened
614799,Landing Page Submission,Google,0,9,278,Email Opened,,Modified
614798,API,Olark Chat,1,0,0,Email Opened,,Email Opened
614796,API,Olark Chat,0,0,0,Email Opened,,Email Opened
614794,API,Organic Search,0,3,399,SMS Sent,Might be,SMS Sent
614791,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,Modified
614777,API,Olark Chat,0,0,0,Olark Chat Conversation,,Olark Chat Conversation
614745,Landing Page Submission,Google,0,8,159,Page Visited on Website,,Page Visited on Website
614744,Landing Page Submission,Direct Traffic,0,3,457,SMS Sent,,SMS Sent
614729,Landing Page Submission,Direct Traffic,0,2,82,Email Opened,Not Sure,Email Opened
614723,Landing Page Submission,Google,0,12,48,Page Visited on Website,,Page Visited on Website
614708,API,Olark Chat,0,0,0,Email Opened,,Email Opened
614705,Lead Add Form,Reference,1,0,0,Email Opened,Might be,Email Opened
614697,API,Olark Chat,0,0,0,Olark Chat Conversation,,Modified
614695,Landing Page Submission,Google,0,3,990,Email Opened,Not Sure,Modified
614694,Landing Page Submission,Google,1,9,87,SMS Sent,Might be,SMS Sent
614685,API,Olark Chat,0,0,0,Email Opened,Not Sure,Email Opened
614668,Landing Page Submission,Direct Traffic,0,7,1402,SMS Sent,,SMS Sent
614665,Landing Page Submission,Google,0,3,165,Email Opened,Worst,Email Opened
614655,Lead Add Form,Welingak Website,1,0,0,SMS Sent,,SMS Sent
614635,Landing Page Submission,Direct Traffic,1,4,1237,SMS Sent,Might be,SMS Sent
614630,Landing Page Submission,Direct Traffic,0,1,45,Converted to Lead,,Modified
614625,API,Olark Chat,0,0,0,Email Opened,,Email Opened
614623,Landing Page Submission,Organic Search,0,5,345,Email Opened,,Email Opened
614615,API,Organic Search,0,4,16,Email Link Clicked,,Email Link Clicked
614607,Landing Page Submission,Google,0,6,246,Page Visited on Website,,Page Visited on Website
614597,API,Olark Chat,0,0,0,SMS Sent,,Modified
614587,API,Olark Chat,0,0,0,Email Opened,,Email Opened
614586,Landing Page Submission,Organic Search,0,3,225,SMS Sent,,Modified
614573,Landing Page Submission,Google,1,3,1590,SMS Sent,Low in Relevance,SMS Sent
614570,Landing Page Submission,Direct Traffic,0,4,154,Page Visited on Website,Not Sure,Page Visited on Website
614568,Landing Page Submission,Google,1,5,1436,Email Opened,,Email Opened
614566,Landing Page Submission,Google,0,2,312,Email Opened,Might be,Email Opened
614565,Landing Page Submission,Direct Traffic,0,5,106,Email Opened,,Email Opened
614563,Landing Page Submission,Direct Traffic,0,8,170,Email Bounced,Worst,Email Bounced
614557,Lead Add Form,Welingak Website,1,0,0,Email Link Clicked,,Email Link Clicked
614554,Landing Page Submission,Google,1,4,709,Page Visited on Website,Might be,Modified
614541,API,Google,0,3,260,Olark Chat Conversation,Worst,Modified
614535,Landing Page Submission,Google,0,4,1708,Email Opened,Not Sure,Email Opened
